;price;odometer
0;17899;63500
1;0;10
2;46463;7554
3;0;10
4;49999;70150
5;13999;120057
6;34500;95484
7;14500;89340
8;12500;226031
9;34500;128153
10;5900;168838
11;16500;156385
12;14500;135287
13;27999;73612
14;14999;235790
15;24999;158156
16;35500;127515
17;8999;179098
18;5999;185220
19;63500;20930
20;13500;231570
21;31895;75000
23;57995;9458
24;4600;110982
25;32995;93242
26;39995;15708
27;26950;68013
28;39995;23773
29;8300;28000
30;30000;13000
31;43995;7238
32;37995;21125
33;43995;9968
34;59995;9228
35;27476;41245
36;23500;80855
37;15475;58103
38;15475;11892
39;3995;215349
40;34900;42649
41;21475;10683
42;14476;81130
43;23295;63842
44;0;10
45;0;10
46;28248;8543
47;23800;37700
48;28000;67348
49;15995;103252
50;10550;79035
51;37995;37152
52;18999;37000
53;79997;28000
54;18999;65000
55;44995;9650
56;33950;0
57;2500;129000
58;68500;8800
59;22995;63425
60;28895;19086
61;105500;35000
62;54997;75000
63;29999;83000
64;14795;164666
65;36995;93452
66;8950;58677
68;36995;67425
69;24700;262000
70;14900;78728
71;34876;48289
72;12495;11092
73;32975;28282
74;6495;24469
75;31221;14222
76;19499;60004
77;0;68908
78;13976;93157
79;5495;55149
80;8499;43524
81;21999;55000
82;37995;15252
83;0;36959
84;7495;70109
85;26950;8871
86;6995;115266
87;7995;69260
88;2250;113248
89;59995;6815
90;2800;104421
91;5495;75506
92;8995;19558
93;7995;8161
94;3250;31336
95;16476;46153
96;6800;21274
97;14800;10868
98;8995;7974
99;6995;35370
100;13495;69614
101;0;18949
102;5995;34238
103;6995;46578
104;7995;19548
105;7995;24008
106;0;10
107;7200;150523
108;0;10
109;12000;65000
110;4995;116083
111;24999;9389
112;4000;110000
113;49995;28425
114;16999;32000
115;22999;39000
116;29999;61000
117;39999;29000
118;21999;76000
119;31999;22000
120;24999;56000
121;16999;59000
122;21999;56000
123;14999;43000
124;25999;49000
125;28999;5000
126;28950;2890
127;22995;54252
128;10550;66328
129;49995;8512
130;30995;14649
131;34995;16161
132;12000;159626
133;58995;32537
135;38995;38086
136;46995;20283
137;14995;28656
138;56995;34388
139;10995;135529
140;16975;81226
141;0;29475
142;13999;48130
143;21500;126520
145;34495;108437
146;17500;33565
147;20495;33293
148;22795;216694
149;6795;123352
152;8845;61700
153;8490;51712
154;6445;99587
155;7435;201312
156;25495;314464
157;5000;209000
158;10499;89869
159;7295;88728
160;23795;134031
161;9995;200000
162;26795;100616
163;29000;32000
164;7999;196000
165;27701;39106
166;21000;119000
167;6500;75400
170;4500;74000
171;7500;1000
172;13500;133287
173;6000;0
174;1600;98000
175;8995;130423
176;2400;194956
177;7295;77580
178;3495;162033
179;3500;191538
180;8400;176353
181;3600;133000
182;4200;129046
184;18795;30680
186;17595;135536
190;56995;608498
191;22500;46850
192;8300;116500
193;1700;135000
194;19495;78954
195;18295;50824
197;12495;75915
198;36900;66800
199;16495;72627
200;21500;224878
201;16900;51300
202;27400;12340
203;12000;151000
204;1500;187000
206;10795;79187
207;16695;163658
208;9000;165000
209;11000;78000
210;9999;69502
211;6495;130535
212;9995;85111
213;12795;140776
214;9795;106696
215;11495;26473
216;17495;82882
217;22495;54489
218;9995;101172
219;4250;203972
220;16995;69699
221;7995;132920
222;29795;57645
223;22795;54322
224;20495;17082
225;27795;63380
226;6495;111060
227;12795;66747
228;10795;96293
229;36495;88244
230;24595;139400
231;15495;27730
232;17495;62751
233;14495;103117
234;18795;85961
235;9995;106169
236;8995;166594
237;12145;30853
238;7995;134561
239;36455;13624
240;32475;61774
241;36795;12621
242;10595;59645
243;10295;154852
244;23995;64438
245;13795;64377
246;20945;31034
247;22795;27737
248;12000;87000
250;7900;130940
251;10500;46500
252;8600;131000
254;5900;148000
255;8000;89000
256;5200;127465
257;9600;97205
258;14255;34265
259;14995;43125
260;24800;150505
261;14255;77235
263;31000;34000
264;2600;187000
268;3999;98430
269;22500;65000
270;500;258000
272;4500;250000
273;15350;40000
274;3350;127000
275;8300;109050
277;2000;214048
278;2000;100000
279;10700;315000
280;18995;170909
281;18495;148411
282;10295;65731
283;18995;39238
284;25795;190330
285;24495;75186
286;10795;119433
287;18795;47639
288;42999;53393
289;15000;140500
290;12795;51197
291;26795;83459
292;22795;38446
293;17495;48201
294;5000;173000
296;4895;127863
297;8495;79420
298;9795;71843
299;21795;41859
300;20795;42866
301;42999;53000
302;11700;37665
303;7750;200960
304;9500;34500
305;9995;8257
306;4895;66011
307;12495;146706
308;6995;53577
309;3300;191400
310;6250;127365
313;3700;131850
314;9500;157400
315;2999;100200
316;7500;128000
317;3200;214000
318;8800;175000
319;9000;171000
320;9495;89923
321;14255;97205
322;6795;76736
323;8795;115059
324;6900;154800
325;39000;97000
326;20495;24577
327;8795;123220
328;19795;33239
329;24495;25113
330;7895;67804
331;5800;141000
332;17395;85741
333;8995;48914
334;18495;43043
335;20995;35359
336;11500;30117
337;13500;88892
339;4795;220287
340;34495;108437
341;6500;106736
342;3600;138000
343;6795;123352
344;22488;71624
345;23000;8500
346;25495;314464
347;8895;54768
348;39666;88
349;8000;63000
350;2000;207411
351;23500;5400
352;11480;36286
353;4567;148868
354;8900;156000
355;16500;111136
356;6995;40556
357;5995;42565
358;5995;196380
359;6495;161627
360;4200;160772
361;3000;113819
362;2777;131337
363;3750;137000
364;3995;95559
365;5995;111303
366;3995;151818
367;5295;93435
368;2995;186296
378;1100;149340
380;2450;160000
381;44500;43211
382;1900;187788
383;24000;165428
384;26000;69460
385;9895;205805
386;13895;97347
387;10795;93759
388;13500;88892
389;16000;36000
390;16495;72627
391;8895;123283
392;7995;28033
393;9995;171089
394;18495;73268
395;9495;205805
396;7295;53577
398;8795;110842
399;15000;71000
400;15695;31863
401;20995;35359
402;8995;48914
403;14500;12803
404;11500;30117
405;18495;43043
406;12500;34814
407;11500;136000
420;0;68100
421;17900;102000
422;18295;50824
423;8795;94921
424;10795;79187
425;29000;76000
427;44200;22
428;19495;78954
429;16695;163658
430;6795;74569
431;14795;164666
432;23295;63842
433;12495;87450
434;12495;75915
435;9999;69502
436;49796;19394
437;34488;51021
438;6199;90478
439;13750;71000
441;26000;83000
442;12798;44890
443;2700;120949
444;6000;67000
446;27000;80000
447;24595;139400
448;5900;230000
449;7995;151000
450;42655;74000
451;9650;90000
452;4250;203972
453;2200;220000
454;15400;132000
