,price,year,condition,odometer,title_status,transmission,type,split
0,17899,2012,excellent,63500.0,clean,manual,hatchback,0.6236120390083021
48,28000,2004,good,67348.0,clean,automatic,truck,-0.4198475549679505
54,18999,2013,excellent,65000.0,clean,automatic,coupe,-1.743533793698419
61,105500,2017,excellent,35000.0,clean,other,van,-1.2980822614507828
62,54997,2010,excellent,75000.0,clean,automatic,SUV,-0.1671409161175813
63,29999,2012,excellent,83000.0,clean,automatic,sedan,-1.812743147990848
81,21999,2004,excellent,55000.0,clean,automatic,convertible,-0.2606726798013762
109,12000,2015,like new,65000.0,clean,automatic,sedan,-0.10026530081949747
115,22999,2017,excellent,39000.0,clean,manual,sedan,-0.6631093495961683
116,29999,2012,excellent,61000.0,clean,automatic,SUV,2.171746928944527
117,39999,2011,excellent,29000.0,clean,automatic,coupe,-1.1598312137173297
118,21999,2014,excellent,76000.0,clean,automatic,sedan,1.3287868725860836
119,31999,2018,excellent,22000.0,clean,automatic,SUV,-1.4247392702954629
122,21999,2015,excellent,56000.0,clean,automatic,sedan,-0.25003667011030917
123,14999,2005,excellent,43000.0,clean,automatic,convertible,0.3186130177254607
125,28999,2017,excellent,5000.0,clean,manual,coupe,-1.2715915810852763
135,38995,2016,good,38086.0,clean,automatic,truck,1.1978727180483475
137,14995,2010,good,28656.0,clean,manual,coupe,0.5072865749385159
138,56995,2018,good,34388.0,clean,automatic,SUV,0.7452190051662987
152,8845,2010,excellent,61700.0,clean,automatic,sedan,0.39219724461756755
155,7435,2004,excellent,201312.0,clean,automatic,pickup,0.6835785218060381
157,5000,2003,good,209000.0,clean,automatic,truck,-0.2893965150482881
158,10499,2008,good,89869.0,clean,manual,convertible,1.3584926706311993
161,9995,2008,excellent,200000.0,clean,automatic,pickup,-0.7816376777109393
163,29000,2014,excellent,32000.0,clean,automatic,pickup,-1.3944945761198082
171,7500,1950,like new,1000.0,clean,automatic,truck,0.8700354585532714
172,13500,2004,excellent,133287.0,clean,automatic,SUV,0.28330573457302205
176,2400,2002,good,194956.0,clean,automatic,SUV,-0.47042366181766115
177,7295,2007,excellent,77580.0,clean,automatic,SUV,1.0012692738147373
178,3495,2006,excellent,162033.0,clean,automatic,convertible,-0.9153818640830742
179,3500,2009,excellent,191538.0,clean,automatic,sedan,0.45167677201754575
180,8400,2008,excellent,176353.0,rebuilt,automatic,SUV,-0.8015879986027878
181,3600,2006,excellent,133000.0,clean,automatic,sedan,0.9708465313838146
